backend,batch,rate_hz,count,p50_ns,p99_ns,p999_ns,max_ns,iqr_ns,mean_ns
cpu,16,250000,20000,4400,8100,111200,4.4509e+06,500,5179.6
cuda-naive,16,250000,20000,74300,324900,1.1747e+06,3.27923e+07,5200,88896.1
cuda-graphs,16,250000,20000,97500,333800,1.1941e+06,2.5879e+07,3400,111673
cpu,32,0,20000,8800,30600,272200,3.2225e+06,700,10999.5
cuda-naive,32,0,20000,75600,318000,1.3654e+06,3.12102e+07,5600,89793.9
cuda-graphs,32,0,20000,98400,332200,1.0654e+06,2.56126e+07,8400,112749
persistent,32,0,9375,181800,612200,3.1799e+06,2.64831e+07,1500,205629
cpu,32,1000,20000,19300,114100,932200,5.3647e+06,1400,23874.3
cuda-naive,32,1000,20000,94700,1.4378e+06,4.3165e+06,1.01921e+07,89500,209624
cuda-graphs,32,1000,20000,161000,1.4532e+06,4.1541e+06,2.35198e+07,67000,253567
cpu,32,10000,20000,18800,46900,458100,2.4633e+06,1600,19773.1
cuda-naive,32,10000,20000,83900,312300,1.3432e+06,1.07387e+07,21300,99758.3
cuda-graphs,32,10000,20000,102400,405300,1.7021e+06,2.18834e+07,43400,132391
cpu,32,50000,20000,15200,31600,239000,4.384e+06,6700,15953.8
cuda-naive,32,50000,20000,83600,375600,2.0358e+06,4.125e+07,21200,107334
cuda-graphs,32,50000,20000,101900,385600,1.4916e+06,5.3118e+06,43900,125317
cpu,32,100000,20000,13000,29900,246200,2.2631e+06,6100,13815.3
cuda-naive,32,100000,20000,77400,325300,1.3758e+06,2.61858e+07,8200,95348.2
cuda-graphs,32,100000,20000,103000,358200,1.7051e+06,1.26519e+08,41600,137866
cpu,32,250000,20000,9300,30800,247100,2.1173e+06,6700,13614
cuda-naive,32,250000,20000,77900,320800,1.7534e+06,1.42935e+07,8100,96124.5
cuda-graphs,32,250000,20000,107600,404800,1.5046e+06,3.83691e+07,41600,135282
cpu,64,0,20000,17500,59800,443000,4.8302e+06,800,20972.6
cuda-naive,64,0,20000,77400,340800,1.7855e+06,3.18847e+07,6100,93336.5
cuda-graphs,64,0,20000,99300,329400,1.2867e+06,8.6115e+06,2500,113562
persistent,64,0,4687,363700,970700,5.4272e+06,3.14609e+07,4000,402342
cpu,64,1000,20000,38500,196300,1.3669e+06,1.10303e+07,2900,47344
cuda-naive,64,1000,20000,187200,1.6263e+06,5.0632e+06,1.3693e+07,36600,282253
cuda-graphs,64,1000,20000,176900,1.4882e+06,5.3892e+06,4.95981e+07,67600,266900
cpu,64,10000,20000,36500,114500,1.0544e+06,8.4839e+06,11200,38127.6
cuda-naive,64,10000,20000,83400,328600,1.0738e+06,1.61136e+07,11000,96210.1
cuda-graphs,64,10000,20000,100000,372100,1.8309e+06,1.69955e+07,10300,119731
cpu,64,50000,20000,17900,57000,384400,1.63172e+07,12000,24903.8
cuda-naive,64,50000,20000,82700,314500,1.4688e+06,1.56404e+07,14300,97221.8
cuda-graphs,64,50000,20000,100000,360300,1.9178e+06,2.86016e+07,10200,120631
cpu,64,100000,20000,17900,60800,524500,1.88507e+07,12300,26096.5
cuda-naive,64,100000,20000,81000,344100,1.3315e+06,6.5854e+06,8300,94157.1
cuda-graphs,64,100000,20000,100100,356400,1.4359e+06,5.3541e+06,12100,118930
cpu,64,250000,20000,20500,75600,1.2708e+06,8.4253e+06,13700,30737.6
cuda-naive,64,250000,20000,81400,318200,1.3788e+06,1.98919e+07,12400,96932.4
cuda-graphs,64,250000,20000,103900,429500,1.7828e+06,1.28608e+07,44500,133418
cpu,128,0,20000,35700,136500,641700,3.9556e+06,23900,48844.8
